Source,Title,Text
CFR,Title 10. Energy," For the purposes of this section, population shall be determined by the most current complete national series, as published by the United States Bureau of the Census in Current Population Reports, P-25, P-26, or related series, except where data from the decennial census conducted by the Bureau of the Census is more current."
CFR,Title 10. Energy,"4. Within 365 days of the later of the date of the availability of the most recent decennial census data from the U.S. Census Bureau or December 23, 2011, nuclear power reactor licensees shall develop an ETE analysis using this decennial data and submit it under § 50.4 to the NRC. These licensees shall submit this ETE analysis to the NRC at least 180 days before using it to form protective action recommendations and providing it to State and local governmental authorities for use in developing offsite protective action strategies."
CFR,Title 10. Energy," During the years between decennial censuses, nuclear power reactor licensees shall estimate EPZ permanent resident population changes once a year, but no later than 365 days from the date of the previous estimate, using the most recent U.S. Census Bureau annual resident population estimate and State/local government population data, if available. These licensees shall maintain these estimates so that they are available for NRC inspection during the period between decennial censuses and shall submit these estimates to the NRC with any updated ETE analysis."
CFR,Title 12. Banks and Banking,"Census tract if the property is located in a county with a population of more than 30,000 according to the most recent decennial census conducted by the U.S. Census Bureau."
CFR,Title 12. Banks and Banking,Distress criteria. An Investment Area (or the units that comprise an area) must meet at least one of the following objective criteria of economic distress (as reported in the most recently completed decennial census published by the U.S. Bureau of the Census):
CFR,Title 12. Banks and Banking,"In counties located outside of a Metropolitan Area, the county population loss during the period between the most recent decennial census and the previous decennial census is at least 10 percent; or"
CFR,Title 12. Banks and Banking,"In counties located outside of a Metropolitan Area, the county net migration loss during the five-year period preceding the most recent decennial census is at least five percent."
CFR,Title 12. Banks and Banking,geography means a census tract delineated by the United States Bureau of the Census in the most recent decennial census.
CFR,Title 12. Banks and Banking,Geography means a census tract delineated by the United States Bureau of the Census in the most recent decennial census.
CFR,Title 12. Banks and Banking,Geography means a census tract delineated by the United States Bureau of the Census in the most recent decennial census.
CFR,Title 12. Banks and Banking,Geography means a census tract delineated by the United States Bureau of the Census in the most recent decennial census.
CFR,Title 12. Banks and Banking,"Rural area means all territory of a State that is not within the outer boundary of any city or town having a population of more than 20,000 inhabitants based on the latest decennial census of the United States."
CFR,Title 12. Banks and Banking,"To be approved as an “underserved area,” the proposed area must meet the CDFI definition of an “investment area.” Id. § 4702(16). A proposed area that, at the time the credit union applies, is designated in its entirety as an Empowerment Zone or Enterprise Community (id. § 1391) automatically qualifies as an “investment area”; no further criteria of an “investment area” must be met. Id. § 4702(16)(B). A proposed area that is not designated as such must qualify as an “investment area” under “the objective criteria of economic distress” developed by the CDFI Fund (“distress criteria”) based on current decennial U.S. Census data, and also must have “significant unmet needs” for loans and financial services that credit unions are authorized to offer to their members. Id. § 4702(16)(A)."
CFR,Title 12. Banks and Banking,Geographic Unit(s) By Proposed Area's Location. The location of a proposed “underserved area” either within or outside of a Metropolitan Statistical Area corresponding to the most recent completed decennial census published by the U.S. Bureau of the Census (“decennial Census”) determines the geographic unit(s) that apply to determine whether the area meets the distress criteria.
CFR,Title 12. Banks and Banking,"Proposed Area Consisting of a Single Metro Unit. A proposed area consisting of a single whole Metro unit (e.g., a single census tract located within a Metropolitan Statistical Area) must meet one of the following distress criteria, as reported by the most recent decennial Census:"
CFR,Title 12. Banks and Banking,"Proposed Area Consisting of a Single Non-Metro Unit. A proposed area consisting of a single whole Non-Metro unit (e.g., a single county located outside a Metropolitan Statistical Area) must meet one of the following distress criteria, as reported by the most recent decennial Census:"
CFR,Title 12. Banks and Banking,"Id.§ 1805.201(b)(3)(ii)(D)(1), (2)(ii) and (3) (2008). Alternatively, a proposed area consisting of a single Non-Metro county (located outside a Metropolitan Statistical Area) may instead meet either of the following two criteria, as reported by the decennial Census: • County Population Loss. County's population loss of at least 10 percent (10%) between the most recent and the preceding decennial Census; or • County Migration Loss. County's net migration loss of at least 5 percent (5%) in the 5- year period preceding the most recent decennial Census."
CFR,Title 12. Banks and Banking,"Proposed Area Consisting of Multiple Contiguous Units. When a proposed area consists of either multiple contiguous Metro units (e.g., a group of adjoining census tracts) or multiple contiguous Non-Metro units (e.g., a group of adjoining counties), a population threshold applies when implementing the economic distress criteria. At least 85 percent (85%) of the area's total population must reside within the units that are “distressed,” i.e., that meet one of the applicable economic distress criteria above, as reported by the decennial Census (Unemployment, Poverty and MFI for census tracts plus, for counties only, Population Loss and Migration Loss); the balance of the area's population may reside in the non-“distressed” tract(s). The population threshold is met, and the whole proposed area qualifies as “distressed,” when the “distressed” units represent at least 85 percent of the area's total population."
CFR,Title 12. Banks and Banking,"Once a credit union is initially approved to serve an “underserved area,” other credit unions that subsequently apply may be approved to serve the same area. To be approved, the area must qualify as “underserved” at the time the new applicant applies. An applicant must demonstrate that the area continues to be “distressed”, as provided above, only if a new decennial Census has been published since the date the area was last approved. In any case, the applicant must demonstrate that the area still has “significant unmet needs” for loans or credit union services (to qualify as an “investment area”), and remains “underserved by other depository institutions” (to qualify as “underserved”)."
CFR,Title 12. Banks and Banking,"A census block that is not in an urban area, as defined by the U.S. Census Bureau using the latest decennial census of the United States; or"
CFR,Title 12. Banks and Banking,"Has a population not exceeding 5,000 (as shown in the preceding decennial census); or"
CFR,Title 12. Banks and Banking,"Has a population not exceeding 5,000 (as shown in the preceding decennial census); or"
CFR,Title 12. Banks and Banking,"Persistent poverty county, for purposes of subpart C of this part, means a county in a rural area that has had 20 percent or more of its population living in poverty over the past 30 years, as measured by the most recent successive decennial censuses."
CFR,Title 12. Banks and Banking,"Has a population not exceeding 5,000 (as shown in the preceding decennial census); or"
CFR,Title 12. Banks and Banking,"Paragraph 4(a)(9)(ii) 1. Optional reporting.Section 1003.4(a)(9)(ii) requires a financial institution to report the State, county, and census tract of the property securing the covered loan or, in the case of an application, proposed to secure the covered loan if the property is located in an MSA or MD in which the financial institution has a home or branch office or if the institution is subject to § 1003.4(e). Section 1003.4(a)(9)(ii)(C) further limits the requirement to report census tract to covered loans secured by or applications proposed to be secured by properties located in counties with a population of more than 30,000 according to the most recent decennial census conducted by the U.S. Census Bureau. For transactions for which State, county, or census tract reporting is not required under § 1003.4(a)(9)(ii) or (e), financial institutions may report that the requirement is not applicable, or they may voluntarily report the State, county, or census tract information."
CFR,Title 12. Banks and Banking,"i. Under § 1026.35(b)(2)(iv)(A), an area is rural during a calendar year if it is: A county that is neither in a metropolitan statistical area nor in a micropolitan statistical area that is adjacent to a metropolitan statistical area; a census block that is not in an urban area, as defined by the U.S. Census Bureau using the latest decennial census of the United States; or a county or a census block that has been designated as “rural” by the Bureau pursuant to the application process established in 2016. See Application Process for Designation of Rural Area under Federal Consumer Financial Law; Procedural Rule, 81 FR 11099 (Mar. 3, 2016). Metropolitan statistical areas and micropolitan statistical areas are defined by the Office of Management and Budget and applied under currently applicable Urban Influence Codes (UICs), established by the United States Department of Agriculture's Economic Research Service (USDA-ERS). For purposes of § 1026.35(b)(2)(iv)(A)(1), “adjacent” has the meaning applied by the USDA-ERS in determining a county's UIC; as so applied, “adjacent” entails a county not only being physically contiguous with a metropolitan statistical area but also meeting certain minimum population commuting patterns. A county is a “rural” area under § 1026.35(b)(2)(iv)(A)(1) if the USDA-ERS categorizes the county under UIC 4, 6, 7, 8, 9, 10, 11, or 12. Descriptions of UICs are available on the USDA-ERS Web site at http://www.ers.usda.gov/data-products/urban-influence-codes/documentation.aspx. A county for which there is no currently applicable UIC (because the county has been created since the USDA-ERS last categorized counties) is a rural area only if all counties from which the new county's land was taken are themselves rural under currently applicable UICs."
